Watching for file changes with StatReloader
Not Found: /echo.php
[16/Jul/2023 17:29:57] "GET /echo.php HTTP/1.1" 404 7647
Not Found: /favicon.ico
[16/Jul/2023 17:35:45] "GET /favicon.ico HTTP/1.1" 404 7658
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:38:11] "GET / HTTP/1.1" 200 1526
[16/Jul/2023 17:39:23] "GET / HTTP/1.1" 200 1526
